"protein_id","n_valid","loess_corr","loess_corr_abs","loess_mae_z","loess_converged","effective_span","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X8975.26",366,0.989100786758807,0.989100786758807,0.130229347673203,TRUE,0.75,1,"CNOT9","Cell differentiation protein RCD1 homolog","RCD1","Q92600"
"X15612.5",366,0.986800176774386,0.986800176774386,0.226456434734576,TRUE,0.75,2,"LIN7B","Protein lin-7 homolog B","LIN7B","Q9HAP6"
"X12499.108",368,0.986460141360863,0.986460141360863,0.181046322777442,TRUE,0.75,3,"SH3GL2","Endophilin-A1","SH3G2","Q99962"
"X14157.21",368,0.985924595981098,0.985924595981098,0.174035848328173,TRUE,0.75,4,"YWHAE","14-3-3 protein epsilon","14-3-3E","P62258"
"X6433.57",363,0.982835538268603,0.982835538268603,0.316056316422795,TRUE,0.75,5,"FAM20A","Pseudokinase FAM20A","FA20A","Q96MK3"
"X11830.48",368,0.981933530727398,0.981933530727398,0.329409880136602,TRUE,0.75,6,"PTPN11","Tyrosine-protein phosphatase non-receptor type 11","SHP-2","Q06124"
"X24680.51",361,0.980009285074753,0.980009285074753,0.271182006238234,TRUE,0.75,7,"TMX1","Thioredoxin domain-containing protein 1","TXND1","Q9H3N1"
"X12340.17",367,0.979965341203182,0.979965341203182,0.174999284332137,TRUE,0.75,8,"AARS1","Alanine--tRNA ligase, cytoplasmic","SYAC","P49588"
"X18218.48",367,0.978565493549728,0.978565493549728,0.228481981108911,TRUE,0.75,9,"CNRIP1","CB1 cannabinoid receptor-interacting protein 1","CB032","Q96F85"
"X12729.12",366,0.978230959493909,0.978230959493909,0.240424876439302,TRUE,0.75,10,"PSMG3","Proteasome assembly chaperone 3","PSMG3","Q9BT73"
"X19273.3",368,0.97787504069567,0.97787504069567,0.154638947401522,TRUE,0.75,11,"GSR","Glutathione reductase, mitochondrial","Glutathione reductase","P00390"
"X7885.17",367,0.971292630368642,0.971292630368642,0.429801617652805,TRUE,0.75,12,"CFHR5","Complement factor H-related protein 5","complement factor H-related 5","Q9BXR6"
"X15474.7",368,0.970749927277561,0.970749927277561,0.38167039213696,TRUE,0.75,13,"PIN1","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","PIN1","Q13526"
"X11252.30",364,0.97004572604608,0.97004572604608,0.166373130549609,TRUE,0.75,14,"LRCH4","Leucine-rich repeat and calponin homology domain-containing protein 4:Calponin Homology","LRCH4:CH","O75427"
"X3617.80",366,0.968379361502196,0.968379361502196,0.430581918982605,TRUE,0.75,15,"HGFAC","Hepatocyte growth factor activator","HGFA","Q04756"
"X23528.199",368,0.968356829263124,0.968356829263124,0.274025823022056,TRUE,0.75,16,"PHYHIPL","Phytanoyl-CoA hydroxylase-interacting protein-like","PHIPL","Q96FC7"
"X21180.16",368,0.968099170289946,0.968099170289946,0.182789657963947,TRUE,0.75,17,"PLCXD3","PI-PLC X domain-containing protein 3","PLCX3","Q63HM9"
"X25249.33",365,0.967986953717459,0.967986953717459,0.151822473903188,TRUE,0.75,18,"PDHA2","Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial","ODPAT","P29803"
"X19279.42",367,0.967309636388532,0.967309636388532,0.258486267243608,TRUE,0.75,19,"RBP1","Retinol-binding protein 1","CRBP","P09455"
"X11260.47",366,0.966360285883598,0.966360285883598,0.437588574254139,TRUE,0.75,20,"SUN5","SUN domain-containing protein 5","SPA4L","Q8TC36"
"X24909.40",367,0.966103534256443,0.966103534256443,0.182908242253421,TRUE,0.75,21,"PLCD1","1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1","Phospholipase C-delta-1","P51178"
"X16810.3",367,0.965994272412899,0.965994272412899,0.337523741826846,TRUE,0.75,22,"GDI1","Rab GDP dissociation inhibitor alpha","RhoGDI","P31150"
"X3896.5",356,0.965088791470742,0.965088791470742,0.165504516402505,TRUE,0.75,23,"PGAM1","Phosphoglycerate mutase 1","Phosphoglycerate mutase 1","P18669"
"X12431.13",364,0.964256734614354,0.964256734614354,0.369415256340577,TRUE,0.75,24,"PELO","Protein pelota homolog","PELO","Q9BRX2"
"X17320.19",356,0.963250348605015,0.963250348605015,0.198504483286041,TRUE,0.75,25,"AASDHPPT","L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","ADPPT","Q9NRN7"
