"protein_id","EntrezGeneSymbol","TargetFullName","spearman_rho","p_value","fdr","n"
"X8748.45","CD74","HLA class II histocompatibility antigen gamma chain",-0.492644179883196,1.66518499605883e-31,2.41004563995704e-30,493
"X19202.10","BTK","Tyrosine-protein kinase BTK",-0.479128780257312,8.96308977368293e-30,1.16703427257712e-28,495
"X19241.31","RBP5","Retinol-binding protein 5",-0.472582781786306,8.53377515152982e-29,1.03963643367768e-27,493
"X11232.46","TCN1","Transcobalamin-1",-0.431082770242508,9.95605996454317e-24,9.5146248365109e-23,493
"X3477.63","NTRK1","High affinity nerve growth factor receptor",-0.429489966495587,1.36239141468489e-23,1.29316420865416e-22,494
"X7012.35","VNN2","Vascular non-inflammatory molecule 2",-0.428816702749818,1.994158452387e-23,1.85759042007592e-22,492
"X18297.8","MRAS","Ras-related protein M-Ras",-0.426710316493918,2.53690763631763e-23,2.3537798665437e-22,495
"X13711.10","CLTC","Clathrin heavy chain 1",-0.424643858416242,4.7862677186829e-23,4.3982685230338e-22,494
"X25298.53","KDM4C","Lysine-specific demethylase 4C",-0.425800904043278,5.88684245046967e-23,5.36246181606502e-22,489
"X18868.7","CBX3","Chromobox protein homolog 3",-0.423362501828155,8.96994571071398e-23,8.07640998760301e-22,491
"X12940.35","ALDH3B1","Aldehyde dehydrogenase family 3 member B1",-0.420246871540872,1.3332276983647e-22,1.19427877583692e-21,495
"X20401.19","BUD31","Protein BUD31 homolog",-0.419980059629569,1.42664951302492e-22,1.27470406106372e-21,495
"X8768.4","BCL10","B-cell lymphoma/leukemia 10",-0.419595337983673,1.73447084179363e-22,1.53602632702457e-21,494
"X11177.16","KRT5","Keratin, type II cytoskeletal 5",-0.420257734518773,2.17206254632895e-22,1.91628440013026e-21,490
"X3210.1","METAP1","Methionine aminopeptidase 1",-0.416594203617286,3.35192325601911e-22,2.92406256642763e-21,495
"X19169.88","FIBP","Acidic fibroblast growth factor intracellular-binding protein",-0.416011063290549,3.87938305987008e-22,3.36741986795414e-21,495
"X25949.3","PLCD3","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3",-0.418801545361168,4.19199566534264e-22,3.62978116634427e-21,487
"X11643.73","DTX3L","E3 ubiquitin-protein ligase DTX3L",-0.415001956681079,4.99229308594886e-22,4.30147762202605e-21,495
"X24723.58","EIF2S2","Eukaryotic translation initiation factor 2 subunit 2",-0.414013572517389,7.02248022244372e-22,5.98448588299492e-21,494
"X13631.1","RBBP5","Retinoblastoma-binding protein 5",-0.412661093111963,8.93250040647378e-22,7.56616267803492e-21,495
"X9901.28","EGLN1","Egl nine homolog 1",-0.411871826584062,1.19266307005003e-21,9.96969547219623e-21,494
"X3081.70","ULBP1","NKG2D ligand 1",-0.411596513374558,1.27634147128674e-21,1.05933317610943e-20,494
"X19126.4","RPRD1B","Regulation of nuclear pre-mRNA domain-containing protein 1B",-0.409362082212388,2.2078401341166e-21,1.81015098905127e-20,494
"X9875.107","THOC1","THO complex subunit 1",-0.408980327691893,2.20939199948442e-21,1.81015098905127e-20,495
"X11544.39","PHF3","PHD finger protein 3",-0.408534201115947,2.70206374889442e-21,2.19327422491372e-20,494
"X18156.7","ATG3","Ubiquitin-like-conjugating enzyme ATG3",-0.407615926501397,3.08196738563681e-21,2.49297708272354e-20,495
"X20991.2","LIMD2","LIM domain-containing protein 2",-0.408467596206816,3.30281364233311e-21,2.66239465644919e-20,492
"X8094.20","CISD2","CDGSH iron-sulfur domain-containing protein 2",-0.407511195914627,3.46547283521625e-21,2.78390334984975e-20,494
"X3809.1","FGFR3","Fibroblast growth factor receptor 3:Cytoplasmic domain",-0.406810015367536,3.74887065368752e-21,3.00123873475212e-20,495
"X18321.38","MTHFD2","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",-0.406025885589456,4.53368937619257e-21,3.61302549263128e-20,495
